race_id,日付,レース,馬名,実着順,horse_id,馬番,着順1,人気1,着順2,人気2,着順3,人気3,着順4,人気4,着順5,人気5
202642071610,2026-07-16,10,ツガノショウグン,7,2021104100,1,1,2,3,8,5,5,4,5,2,10
202642071610,2026-07-16,10,コスタデラルス,1,2022107309,2,6,6,12,12,8,8,11,11,11,11
202642071610,2026-07-16,10,サンスレッド,8,2020106495,3,2,1,1,1,2,2,2,3,2,6
202642071610,2026-07-16,10,エレガントジュエリ,取消,2020106937,4,10,4,2,9,4,7,11,8,4,2
202642071610,2026-07-16,10,マスクドサムライ,4,2019106784,5,3,7,6,9,6,8,5,6,6,9
202642071610,2026-07-16,10,アマノハバキリ,2,2022104407,6,10,1,3,6,7,6,7,6,11,5
202642071610,2026-07-16,10,クインズステラ,3,2019102559,7,3,1,6,2,2,2,取,,1,2
202642071610,2026-07-16,10,アイスキング,5,2019105835,8,2,1,3,1,12,7,8,2,1,1
202642071610,2026-07-16,10,ノヴァヴィア,6,2022107066,9,5,6,3,2,1,3,8,1,1,3
202642071611,2026-07-16,11,ユウノワンワン,5,2021101846,1,5,8,10,10,4,7,1,5,5,8
202642071611,2026-07-16,11,ダイメイタマナ,4,2020102357,2,4,7,8,7,6,9,11,6,4,6
202642071611,2026-07-16,11,デュアルロンド,7,2021106264,3,6,9,8,9,10,12,13,6,8,6
202642071611,2026-07-16,11,ルールメイプル,3,2020105827,4,4,5,3,10,10,7,1,4,7,5
202642071611,2026-07-16,11,ボディコンシャス,除外,2022104299,5,1,3,5,8,8,2,12,3,2,5
202642071611,2026-07-16,11,セイウンハルカニ,11,2019100938,6,10,11,10,10,14,13,11,12,11,12
202642071611,2026-07-16,11,フォーティチュード,1,2023109017,7,3,1,1,1,1,1,1,3,3,1
202642071611,2026-07-16,11,シェナウエーブ,2,2022103789,8,11,8,8,2,6,2,2,3,8,4
202642071611,2026-07-16,11,アイグレース,8,2020105406,9,2,3,11,11,12,12,10,11,6,9
202642071611,2026-07-16,11,スーパーマン,9,2020100956,10,13,14,8,12,9,5,5,13,7,9
202642071611,2026-07-16,11,クリーゲリン,10,2021106617,11,7,10,13,12,10,5,中,6,1,6
202642071611,2026-07-16,11,サンダビューク,6,2019102827,12,2,7,5,5,9,9,4,6,1,4
202642071612,2026-07-16,12,ルージュメアート,10,2022105541,1,3,3,4,5,6,8,11,7,10,2
202642071612,2026-07-16,12,ミライヘホウショウ,2,2022106981,2,6,4,3,4,6,5,9,5,4,2
202642071612,2026-07-16,12,ロットゥーラ,4,2020104834,3,2,3,7,4,9,3,8,1,8,6
202642071612,2026-07-16,12,ビーチガール,6,2020101855,4,10,5,5,2,8,4,8,2,3,2
202642071612,2026-07-16,12,ユウオウマイシン,3,2022106921,5,5,7,4,6,6,9,9,9,9,10
202642071612,2026-07-16,12,ベルルート,5,2021101345,6,2,2,5,3,7,7,5,1,1,2
202642071612,2026-07-16,12,メイショウフソウ,1,2022100438,7,2,1,1,1,1,1,4,2,6,2
202642071612,2026-07-16,12,シングアウト,9,2022103085,8,8,8,6,4,7,4,9,7,7,7
202642071612,2026-07-16,12,メイショウサノサ,12,2022101472,9,11,10,7,9,11,13,11,11,10,11
202642071612,2026-07-16,12,シェナクラウン,11,2020106178,10,4,9,9,9,除,,5,7,4,8
202642071612,2026-07-16,12,ユイノパチョレック,7,2021100930,11,4,6,6,5,8,10,10,8,10,7
202642071612,2026-07-16,12,ニシノシャイニング,8,2020105944,12,8,6,8,8,9,6,3,12,10,12
202650071601,2026-07-16,1,サクラヴィグール,2,2021104071,1,2,2,2,1,3,1,8,3,4,2
202650071601,2026-07-16,1,メイショウロンド,1,2022102983,2,9,3,2,2,10,8,6,7,10,9
202650071601,2026-07-16,1,ララアンセストラル,3,2019102757,3,6,6,6,2,5,6,10,4,10,7
202650071601,2026-07-16,1,タイキクロニクル,9,2022103147,4,9,10,5,7,8,9,10,9,8,6
202650071601,2026-07-16,1,ドナルドポーカー,6,2023107435,5,11,11,10,6,7,3,除,,2,1
202650071601,2026-07-16,1,スナークユウマ,8,2019103468,6,10,7,8,4,2,5,8,7,1,1
202650071601,2026-07-16,1,グランロゼ,4,2022102048,7,5,1,5,4,3,6,4,4,2,4
202650071601,2026-07-16,1,カコウガン,5,2022102322,8,7,4,2,1,4,4,4,4,5,6
202650071601,2026-07-16,1,リザンテラ,7,2022100392,9,7,9,4,7,5,4,5,7,3,10
202650071601,2026-07-16,1,クリスバーグ,10,2018103937,10,3,1,5,3,3,2,6,3,3,3
202650071602,2026-07-16,2,ミストレビノ,9,2021106884,1,7,11,,,5,8,7,8,4,6
202650071602,2026-07-16,2,ハイレジリエンス,1,2018110103,2,9,9,7,8,6,7,6,5,1,4
202650071602,2026-07-16,2,サクラトップセラー,2,2021104120,3,6,5,6,5,7,8,5,5,1,2
202650071602,2026-07-16,2,リンガスウォリアー,5,2017101015,4,12,12,9,8,7,9,12,9,7,8
202650071602,2026-07-16,2,ハルサメ,10,2022107294,5,10,6,8,5,3,5,5,3,1,3
202650071602,2026-07-16,2,シビックシャルル,6,2021102385,6,1,1,1,2,5,1,5,6,1,2
202650071602,2026-07-16,2,ワレラホシノコ,3,2020100410,7,3,1,2,5,4,6,5,8,3,3
202650071602,2026-07-16,2,スカイアクセル,7,2022110119,8,1,3,2,2,1,2,3,3,8,8
202650071602,2026-07-16,2,フェスティーヴォ,8,2022106506,9,10,8,9,9,9,7,1,1,7,7
202650071602,2026-07-16,2,スーパークール,4,2020101475,10,8,9,6,2,9,4,3,3,5,1
202650071603,2026-07-16,3,プリンセスロード,4,2024102073,1,,,,,,,,,,
202650071603,2026-07-16,3,クイーンピロコ,5,2024106818,2,,,,,,,,,,
202650071603,2026-07-16,3,クールスカイ,1,2024101910,3,,,,,,,,,,
202650071603,2026-07-16,3,マイクロフォン,2,2024102337,4,,,,,,,,,,
202650071603,2026-07-16,3,ポワソンドール,3,2024104467,5,,,,,,,,,,
202650071604,2026-07-16,4,シャンクスレガシー,9,2023106166,1,12,9,2,3,12,13,10,9,11,11
202650071604,2026-07-16,4,モルツシャン,4,2021105234,2,1,1,3,1,2,3,2,1,1,3
202650071604,2026-07-16,4,イエローキャブ,7,2018106754,3,4,6,1,2,4,7,10,9,10,11
202650071604,2026-07-16,4,サンリナリア,1,2023100841,4,14,5,8,10,8,12,5,6,10,12
202650071604,2026-07-16,4,フルリール,3,2021107178,5,2,4,4,3,4,4,10,3,5,6
202650071604,2026-07-16,4,メイショウサザナミ,10,2023105206,6,16,14,10,13,13,6,6,13,13,11
202650071604,2026-07-16,4,メイショウヨウホウ,8,2019103397,7,12,10,9,8,1,2,3,9,6,8
202650071604,2026-07-16,4,ラスアルハイマ,2,2022103760,8,1,2,2,2,7,7,4,2,2,2
202650071604,2026-07-16,4,レベッカレインボー,6,2022101069,9,1,1,4,4,3,5,1,2,1,3
202650071604,2026-07-16,4,エイシンジコクテン,5,2023105489,10,4,2,1,1,2,3,3,3,3,2
