date,race,race_id,開催地,bet_type,勝負ランク,推奨券種,購入対象,prediction,result,hit,payout,investment,profit,roi,source,投資判定,本命オッズ,期待値,能力差スコア,レース信頼度スコア,AI信頼度スコア
2026-07-12,福島05R,202603020605,福島,ワイド,D,三連複,0,エイシンウルクンデ－ブルーリボン｜ローグアン－ハクタカ｜インザダーク－セレスタイト,4-12 / 12-14 / 4-14,0,0,300,-300,0.0,jra,見送り,108.2,101,45.0,35.6,14.9
2026-07-12,福島05R,202603020605,福島,馬連,D,三連複,0,ドーンレーサー－インザダーク｜ローグアン－ブルーリボン,4-12,0,0,200,-200,0.0,jra,見送り,108.2,101,45.0,35.6,14.9
2026-07-12,福島05R,202603020605,福島,三連複,D,三連複,1,エクスマキナ－ブルーリボン－インザダーク｜ローグアン－エクスマキナ－シーズアウルフ｜ドーンレーサー－ブルーリボン－セレスタイト｜ドーンレーサー－ブルーリボン－ワンコール｜ドーンレーサー－エイシンウルクンデ－ブルーリボン｜ローグアン－ハクタカ－シーズアウルフ,4-12-14,0,0,600,-600,0.0,jra,見送り,108.2,101,45.0,35.6,14.9
2026-07-12,福島05R,202603020605,福島,三連単,D,三連複,0,ブルーリボン－ハクタカ－ドーンレーサー,12-4-14,0,0,100,-100,0.0,jra,見送り,108.2,101,45.0,35.6,14.9
2026-07-12,福島06R,202603020606,福島,本命,B,ワイド,0,ツクバヴァンガード,1着:12,0,0,100,-100,0.0,jra,見送り,2.4,97,45.0,49.0,46.8
2026-07-12,福島06R,202603020606,福島,ワイド,B,ワイド,1,ツクバヴァンガード－ミスタートントン｜ツクバヴァンガード－ニンジャトットリ｜ミスタートントン－ニンジャトットリ,6-12 / 10-12 / 6-10,0,0,300,-300,0.0,jra,見送り,2.4,97,45.0,49.0,46.8
2026-07-12,福島06R,202603020606,福島,馬連,B,ワイド,0,ツクバヴァンガード－ミスタートントン｜ツクバヴァンガード－ニンジャトットリ,6-12,0,0,200,-200,0.0,jra,見送り,2.4,97,45.0,49.0,46.8
2026-07-12,福島06R,202603020606,福島,三連複,B,ワイド,0,ツクバヴァンガード－ミスタートントン－ニンジャトットリ｜ツクバヴァンガード－ミスタートントン－ミラビリオン｜ツクバヴァンガード－ミスタートントン－ジャメビュ｜ツクバヴァンガード－ミスタートントン－イイクニパッション｜ツクバヴァンガード－ニンジャトットリ－ミラビリオン｜ミスタートントン－ニンジャトットリ－ミラビリオン,6-10-12,0,0,600,-600,0.0,jra,見送り,2.4,97,45.0,49.0,46.8
2026-07-12,福島06R,202603020606,福島,三連単,B,ワイド,0,ツクバヴァンガード－ミスタートントン－ニンジャトットリ,12-6-10,0,0,100,-100,0.0,jra,見送り,2.4,97,45.0,49.0,46.8
2026-07-12,福島07R,202603020607,福島,本命,B,ワイド,0,キッショウダラニ,1着:4,0,0,100,-100,0.0,jra,見送り,2.6,98,45.0,51.3,54.8
